M13,medium,"(112, 4)","(123, 11)"
M14,medium,"(87, 150)","(98, 157)"
L0,large,"(38, 18)","(50, 28)"
L1,large,"(15, 69)","(27, 79)"
L2,large,"(7, 141)","(19, 151)"
L3,large,"(144, 92)","(156, 102)"
L4,large,"(2, 22)","(14, 32)"
L5,large,"(17, 123)","(29, 133)"
L6,large,"(138, 40)","(150, 50)"
L7,large,"(145, 128)","(157, 138)"
L8,large,"(20, 100)","(32, 110)"
60,3,23704470.0,1
S0,small,"(29, 115)","(37, 123)"
S1,small,"(40, 27)","(48, 35)"
S2,small,"(6, 58)","(14, 66)"
S3,small,"(119, 95)","(127, 103)"
S4,small,"(130, 23)","(138, 31)"
S5,small,"(101, 15)","(109, 23)"
S6,small,"(14, 138)","(22, 146)"
S7,small,"(3, 123)","(11, 131)"
S8,small,"(21, 126)","(29, 134)"
S9,small,"(99, 141)","(107, 149)"
S10,small,"(2, 76)","(10, 84)"
S11,small,"(149, 60)","(157, 68)"
S12,small,"(139, 156)","(147, 164)"
S13,small,"(31, 6)","(39, 14)"
S14,small,"(134, 55)","(142, 63)"
S15,small,"(27, 100)","(35, 108)"
S16,small,"(120, 59)","(128, 67)"
S17,small,"(0, 159)","(8, 167)"
S18,small,"(148, 99)","(156, 107)"
S19,small,"(150, 153)","(158, 161)"
S20,small,"(131, 66)","(139, 74)"
S21,small,"(0, 147)","(8, 155)"
S22,small,"(3, 17)","(11, 25)"
S23,small,"(78, 23)","(86, 31)"
S24,small,"(55, 158)","(63, 166)"
S25,small,"(120, 13)","(128, 21)"
S26,small,"(123, 48)","(131, 56)"
S27,small,"(104, 1)","(112, 9)"
S28,small,"(134, 10)","(142, 18)"
S29,small,"(89, 21)","(97, 29)"
S30,small,"(24, 74)","(32, 82)"
S31,small,"(1, 43)","(9, 51)"
S32,small,"(117, 151)","(125, 159)"
S33,small,"(46, 40)","(54, 48)"
S34,small,"(86, 159)","(94, 167)"
S35,small,"(148, 0)","(156, 8)"
M0,medium,"(25, 86)","(36, 93)"
M1,medium,"(99, 155)","(110, 162)"
M2,medium,"(138, 37)","(149, 44)"
M3,medium,"(143, 84)","(154, 91)"
M4,medium,"(10, 90)","(21, 97)"
M5,medium,"(39, 150)","(50, 157)"
M6,medium,"(118, 2)","(129, 9)"
M7,medium,"(120, 108)","(131, 115)"
M8,medium,"(125, 80)","(136, 87)"
M9,medium,"(49, 6)","(60, 13)"
M10,medium,"(14, 111)","(25, 118)"
M11,medium,"(135, 110)","(146, 117)"
M12,medium,"(13, 7)","(24, 14)"
M13,medium,"(148, 14)","(159, 21)"
M14,medium,"(116, 133)","(127, 140)"
L0,large,"(74, 39)","(86, 49)"
L1,large,"(64, 137)","(76, 147)"
L2,large,"(78, 4)","(90, 14)"
L3,large,"(21, 32)","(33, 42)"
L4,large,"(56, 21)","(68, 31)"
L5,large,"(144, 127)","(156, 137)"
L6,large,"(103, 34)","(115, 44)"
L7,large,"(17, 153)","(29, 163)"
L8,large,"(23, 55)","(35, 65)"
60,2,23806950.0,1
S0,small,"(110, 105)","(118, 113)"
S1,small,"(62, 143)","(70, 151)"
S2,small,"(66, 37)","(74, 45)"
S3,small,"(114, 134)","(122, 142)"
S4,small,"(80, 86)","(88, 94)"
S5,small,"(101, 151)","(109, 159)"
S6,small,"(106, 22)","(114, 30)"
S7,small,"(111, 6)","(119, 14)"
S8,small,"(53, 0)","(61, 8)"
S9,small,"(93, 67)","(101, 75)"
S10,small,"(35, 84)","(43, 92)"
S11,small,"(147, 46)","(155, 54)"
S12,small,"(2, 64)","(10, 72)"
S13,small,"(151, 76)","(159, 84)"
S14,small,"(43, 115)","(51, 123)"
S15,small,"(99, 8)","(107, 16)"
S16,small,"(18, 62)","(26, 70)"
S17,small,"(101, 95)","(109, 103)"
S18,small,"(52, 102)","(60, 110)"
S19,small,"(73, 71)","(81, 79)"
S20,small,"(68, 55)","(76, 63)"
S21,small,"(77, 36)","(85, 44)"
S22,small,"(51, 144)","(59, 152)"
S23,small,"(52, 37)","(60, 45)"
S24,small,"(94, 140)","(102, 148)"
S25,small,"(130, 119)","(138, 127)"
S26,small,"(55, 158)","(63, 166)"
S27,small,"(33, 20)","(41, 28)"
S28,small,"(85, 99)","(93, 107)"
S29,small,"(117, 52)","(125, 60)"
S30,small,"(36, 70)","(44, 78)"
S31,small,"(117, 82)","(125, 90)"
S32,small,"(55, 115)","(63, 123)"
S33,small,"(82, 120)","(90, 128)"
